DateTime,AddedIPs,RemovedIPs
1537036535,6,4
1537038884,7,7
1537040098,4,5
1537042246,7,3
1537043451,5,9
1537044962,2,2
1537046084,3,8
1537046941,1,0
1537048249,3,12
1537049688,2,3
1537050592,4,5
1537052143,1,2
1537053352,1,3
1537054136,1,0
1537054964,1,8
1537056875,3,16
1537058443,3,11
1537059408,0,1
1537061396,2,19
1537062974,0,4
1537064086,1,3
1537065720,1,18
1537067149,2,10
1537068603,1,5
1537071055,1,11
1537072135,7,0
1537074349,9,19
1537076139,3,15
1537078244,3,8
1537079562,2,5
1537080941,0,4
1537082096,2,2
1537083510,3,12
1537084605,1,4
1537085686,3,5
1537086939,2,12
1537088198,2,1
1537089343,3,7
1537090140,1,0
1537090953,1,6
1537092884,4,11
1537094448,3,8
1537095755,1,7
1537097330,4,0
1537098998,13,3
1537100083,10,1
1537101337,12,1
1537103136,9,6
1537103672,2,1
1537105371,12,1
1537106194,8,0
1537107275,9,3
1537108196,6,6
1537109797,9,1
1537110939,3,4
1537112092,5,3
1537113319,5,2
1537114541,8,3
1537115724,12,3
1537116914,6,0
1537118129,4,9
1537119335,6,5
1537120845,10,3
1537121673,6,1
1537122942,6,2
1537124148,0,3
1537126177,5,9
1537127802,1,0
1537128871,2,2
1537130595,2,8
1537131409,2,1
1537132551,1,8
1537134156,5,23
1537134994,4,1
1537136157,7,9
1537137337,7,6
1537138605,7,6
1537139695,2,12
1537140836,0,16
1537143052,4,6
1537145810,4,20
1537147738,4,13
1537150243,9,28
1537150484,2,0
1537151709,9,10
1537153571,17,7
1537154739,13,0
1537155957,9,4
1537157675,7,5
1537158587,2,8
1537159853,5,0
1537161355,3,4
1537162541,2,3
1537164298,7,3
1537165848,2,4
1537166562,2,1
1537168488,8,2
1537169383,5,4
1537170174,0,1
1537170992,1,1
1537172082,2,3
1537173648,2,5
1537174603,5,1
1537175742,4,0
1537177251,5,4
1537178196,2,0
1537180177,3,6
1537180965,3,5
1537182875,4,13
1537183728,1,25
1537184570,2,50
1537186245,5,49
1537188165,1,7
1537189526,0,2
1537190717,2,1
1537190978,1,4
1537191755,1,0
1537193035,2,2
1537194155,0,1
1537195549,3,8
1537197272,8,3
1537198974,6,5
1537200929,4,6
1537202443,5,2
1537204477,15,9
1537205618,9,6
1537206935,12,1
1537208148,11,4
1537209640,18,8
1537211125,25,6
1537212292,16,0
1537213374,15,4
1537215276,24,3
1537216969,31,6
1537217796,11,0
1537218880,16,4
1537219728,9,1
1537221399,16,9
1537222476,17,2
1537223692,4,2
1537224168,5,0
1537225552,7,7
1537226980,1,1
1537227774,0,2
1537228602,2,0
1537229685,3,0
1537230942,0,3
1537232750,6,5
1537234141,6,0
1537235796,2,4
1537236948,2,4
1537238580,2,5
1537239903,2,2
1537241760,3,6
1537242959,2,3
1537244176,3,4
1537245320,2,3
1537246608,8,1
1537247744,4,2
1537249382,0,4
1537250215,3,1
1537251286,1,0
1537252959,0,7
1537253794,2,1
1537254883,0,1
1537256166,0,5
1537257410,0,2
1537258546,0,2
1537259382,1,3
1537260993,2,0
1537262072,2,2
1537263297,2,5
1537264535,1,0
1537265751,1,3
1537266534,1,2
1537268205,5,1
1537269280,3,4
1537270499,0,4
1537271802,0,5
1537273724,3,6
1537275409,6,8
1537276484,8,5
1537278064,11,5
1537279844,6,7
1537281766,2,6
1537283144,6,2
1537284351,4,0
1537286460,5,6
1537287643,6,0
1537288841,4,7
1537290340,1,6
1537291846,4,7
1537292564,6,6
1537294193,14,3
1537295419,5,4
1537296995,3,1
1537298151,2,8
1537298940,3,0
1537300595,8,4
1537301690,1,5
1537303543,1,3
1537304195,0,1
1537305344,1,5
1537306178,7,12
1537306955,4,2
1537308880,29,15
1537310147,8,3
1537311342,11,2
1537312473,9,2
1537314157,5,4
1537315007,6,0
1537316935,16,5
1537318543,11,8
1537319747,9,5
1537321238,14,3
1537322460,13,9
1537323279,11,0
1537324971,27,9
1537325810,14,2
1537326894,15,1
1537327731,7,0
1537328579,4,6
1537330082,7,3
1537331481,7,6
1537333016,8,2
1537334154,7,0
1537335785,12,4
1537336958,5,1
1537338055,4,1
1537339247,3,5
1537339367,0,1
1537340628,8,4
1537341939,18,1
1537343795,18,6
1537344873,2,4
1537345787,2,8
1537346564,2,4
1537348490,3,5
1537349741,2,2
1537351192,0,5
1537352452,0,2
1537353648,1,5
1537354607,1,2
1537355757,2,3
1537357367,1,5
1537358932,2,2
1537359288,1,0
1537360128,3,1
1537361802,1,7
1537362951,2,2
1537364564,2,7
1537367378,2,12
1537369157,2,5
1537370089,2,3
1537370979,3,9
1537372602,1,1
1537374576,4,10
1537375892,3,4
1537377046,2,11
1537378248,3,8
1537380646,11,13
1537382561,9,15
1537383948,12,16
1537385737,8,13
1537386155,1,8
1537387478,0,7
1537388976,3,14
1537390243,1,2
1537391442,0,13
1537392923,0,24
1537394134,1,11
1537395274,2,17
1537396180,0,2
1537397798,2,0
1537398888,1,4
1537400569,4,5
1537401413,0,1
1537402488,3,2
1537403414,5,8
1537404160,1,0
1537404997,2,0
1537406083,0,3
1537406988,0,4
1537408603,1,1
1537409803,3,4
1537411260,3,4
1537412753,9,6
1537414556,1,6
1537415799,0,1
1537416999,0,6
1537418558,7,3
1537419951,5,5
1537420487,1,0
1537422058,9,4
1537423024,5,2
1537424152,7,3
1537425029,3,3
1537426237,16,1
1537427449,20,1
1537428651,17,1
1537429841,14,1
1537431042,18,4
1537432267,15,5
1537433499,17,1
1537434880,16,2
1537438245,35,7
1537440162,23,7
1537441543,9,2
1537442746,10,0
1537443758,5,6
1537445460,11,6
1537445675,1,0
1537447247,5,2
1537448210,3,3
1537449342,8,3
1537450543,4,3
1537451749,8,3
1537452932,4,4
1537453741,1,1
1537455036,6,7
1537456239,7,4
1537457410,3,10
1537458191,3,6
1537459427,6,3
1537460075,6,1
1537461349,5,4
1537462550,6,1
1537463749,9,11
1537465010,4,9
1537466134,6,2
1537467283,5,3
1537468548,4,4
1537469807,8,3
1537470946,4,3
1537471735,2,1
1537472555,5,1
1537474477,5,1
1537475908,2,3
1537477008,1,4
1537478149,0,8
1537478984,1,21
1537480243,1,0
1537481459,2,9
1537483359,1,6
1537484747,0,10
1537486526,2,11
1537486970,1,3
1537488658,3,7
1537490579,1,16
1537491400,2,0
1537492546,3,10
1537494049,7,15
1537495839,2,18
1537496993,0,13
1537497761,0,1
1537499687,4,13
1537500539,3,2
1537502200,9,14
1537503290,6,8
1537504189,6,7
1537505814,8,7
1537506957,4,2
1537508557,6,5
1537509796,0,5
1537510478,1,0
1537512045,3,13
1537513539,2,15
1537515940,1,6
1537517672,1,4
1537519252,2,1
1537520742,2,2
1537521945,2,0
1537523145,2,3
1537524254,1,2
1537525783,4,1
1537527400,0,1
1537529342,5,4
1537530530,3,3
1537532074,5,2
1537533771,14,5
1537534606,10,1
1537535675,10,3
1537536945,7,5
1537538685,12,1
1537539281,8,1
1537540954,17,4
1537542339,20,2
1537542874,5,0
1537544568,21,6
1537545786,10,5
1537546485,12,0
1537548155,19,2
1537550086,19,6
1537550933,4,0
1537552594,19,5
1537553742,12,4
1537555365,10,14
1537556193,7,0
1537557342,8,1
1537558968,13,3
1537560291,13,1
1537561846,12,1
1537564475,12,3
1537565737,7,5
1537567000,7,0
1537568087,7,0
1537569581,5,5
1537571143,6,3
1537571683,3,0
1537572577,3,4
1537575028,1,1
1537577419,2,1
1537578876,2,1
1537580570,3,3
1537581841,2,9
1537584053,2,3
1537585014,4,0
1537586150,1,0
1537587354,0,1
1537588560,5,0
1537589744,1,6
1537592211,3,5
1537593353,0,5
1537594208,0,8
1537596649,6,23
1537597794,3,12
1537599340,7,7
1537600558,3,6
1537601740,0,15
1537602929,1,2
1537604080,5,10
1537604976,3,10
1537605767,1,1
1537606605,0,1
1537607678,3,16
1537608836,1,28
1537610658,1,15
1537612125,3,0
1537612963,0,16
1537614879,1,9
1537616137,5,9
1537617344,4,3
1537618474,1,2
1537619807,0,8
1537621562,1,9
1537622941,2,2
1537624178,3,5
1537626539,6,12
1537627366,3,10
1537629274,8,3
1537630968,1,9
1537631798,3,0
1537632874,0,9
1537633781,1,6
1537635042,13,2
1537636245,16,6
1537636474,6,0
1537638164,19,11
1537639556,10,7
1537641267,22,7
1537642541,17,6
1537643673,12,2
1537645355,24,4
1537647041,16,4
1537648138,8,0
1537649741,15,1
1537650882,20,0
1537652144,19,12
1537653337,14,1
1537654549,11,0
1537655391,4,0
1537657009,9,2
1537658084,7,0
1537659772,7,1
1537661688,11,3
1537663368,6,7
1537664210,3,0
1537665352,7,4
1537666527,8,0
1537668469,15,0
1537669854,6,7
1537672491,7,8
1537673337,2,0
1537674939,4,13
1537676151,5,5
1537677771,2,4
1537679050,4,2
1537680661,4,2
1537681372,0,2
1537683279,2,4
1537684178,1,4
1537686176,3,1
1537686881,1,1
1537688140,4,3
1537690474,6,1
1537691340,6,0
1537692994,2,3
1537694143,2,2
1537695769,1,2
1537697445,4,1
